Number of tasks,number of bins,number of elements,execution time
1,4,10,0.00001606
1,4,50,0.00001798
1,4,100,0.00001622
1,4,500,0.00003101
1,4,1000,0.00004761
1,4,5000,0.00015665
1,4,10000,0.00031196
1,4,50000,0.00159129
1,4,100000,0.00300431
1,4,500000,0.01432854
1,4,1000000,0.02882895
1,4,5000000,0.1080737
1,25,10,0.0000172
1,25,50,0.00002133
1,25,100,0.00002924
1,25,500,0.00006725
1,25,1000,0.00009451
1,25,5000,0.00044138
1,25,10000,0.00085776
1,25,50000,0.00425146
1,25,100000,0.00851072
1,25,500000,0.04220589
1,25,1000000,0.08483154
1,25,5000000,0.49718296
1,100,10,0.00002496
1,100,50,0.00003735
1,100,100,0.00005456
1,100,500,0.00018623
1,100,1000,0.00038644
1,100,5000,0.00184451
1,100,10000,0.00362094
1,100,50000,0.01357931
1,100,100000,0.02689397
1,100,500000,0.13289468
1,100,1000000,0.26826984
1,100,5000000,1.39966324
2,4,10,0.02059028
2,4,50,0.02057769
2,4,100,0.02068359
2,4,500,0.02054006
2,4,1000,0.0205481
2,4,5000,0.02035956
2,4,10000,0.02040704
2,4,50000,0.01982143
2,4,100000,0.01883069
2,4,500000,0.02126422
2,4,1000000,0.03242488
2,4,5000000,0.11808437
2,25,10,0.02083525
2,25,50,0.0206119
2,25,100,0.02070668
2,25,500,0.02069093
2,25,1000,0.02074674
2,25,5000,0.02085869
2,25,10000,0.02108311
2,25,50000,0.02346713
2,25,100000,0.02424711
2,25,500000,0.05395211
2,25,1000000,0.07602608
2,25,5000000,0.30563147
2,100,10,0.02086622
2,100,50,0.0209813
2,100,100,0.02070824
2,100,500,0.02074967
2,100,1000,0.02101772
2,100,5000,0.02210303
2,100,10000,0.02281377
2,100,50000,0.03142996
2,100,100000,0.03947914
2,100,500000,0.09711766
2,100,1000000,0.17770072
2,100,5000000,0.83324848
4,4,10,0.04061334
4,4,50,0.04068394
4,4,100,0.04064908
4,4,500,0.04064556
4,4,1000,0.04061554
4,4,5000,0.04058103
4,4,10000,0.04051059
4,4,50000,0.03958654
4,4,100000,0.03869767
4,4,500000,0.04161248
4,4,1000000,0.04992336
4,4,5000000,0.11441723
4,25,10,0.04069257
4,25,50,0.04073866
4,25,100,0.04064948
4,25,500,0.04061874
4,25,1000,0.04082385
4,25,5000,0.04071157
4,25,10000,0.04065552
4,25,50000,0.04058506
4,25,100000,0.04106525
4,25,500000,0.05110586
4,25,1000000,0.06068888
4,25,5000000,0.19779781
4,100,10,0.04074589
4,100,50,0.04121095
4,100,100,0.04092128
4,100,500,0.04121724
4,100,1000,0.04129025
4,100,5000,0.04157507
4,100,10000,0.04200934
4,100,50000,0.04496894
4,100,100000,0.0489857
4,100,500000,0.08155295
4,100,1000000,0.13752264
4,100,5000000,0.59186272
,,,
1,4,10,0.00002614
1,4,50,0.00001956
1,4,100,0.00001942
1,4,500,0.00003395
1,4,1000,0.0000548
1,4,5000,0.00018888
1,4,10000,0.00038101
1,4,50000,0.00174263
1,4,100000,0.00366274
1,4,500000,0.01773128
1,4,1000000,0.03509924
1,4,5000000,0.17596636
1,25,10,0.0000194
1,25,50,0.00003425
1,25,100,0.00003866
1,25,500,0.0001046
1,25,1000,0.0001813
1,25,5000,0.0008549
1,25,10000,0.00170729
1,25,50000,0.00734079
1,25,100000,0.01455849
1,25,500000,0.08488733
1,25,1000000,0.15287614
1,25,5000000,0.77471892
1,100,10,0.00001868
1,100,50,0.00004891
1,100,100,0.00008109
1,100,500,0.00034229
1,100,1000,0.00064877
1,100,5000,0.00281014
1,100,10000,0.00546762
1,100,50000,0.02744496
1,100,100000,0.05506657
1,100,500000,0.29225983
1,100,1000000,0.55744829
1,100,5000000,2.78402875
2,4,10,0.02060254
2,4,50,0.02063834
2,4,100,0.02060941
2,4,500,0.02048286
2,4,1000,0.02052251
2,4,5000,0.02060827
2,4,10000,0.0205969
2,4,50000,0.02042432
2,4,100000,0.02017123
2,4,500000,0.0299662
2,4,1000000,0.05027177
2,4,5000000,0.18867427
2,25,10,0.02076112
2,25,50,0.02081113
2,25,100,0.02072559
2,25,500,0.0204745
2,25,1000,0.02087971
2,25,5000,0.02096191
2,25,10000,0.02201626
2,25,50000,0.02647673
2,25,100000,0.03197249
2,25,500000,0.07154489
2,25,1000000,0.11708833
2,25,5000000,0.54007619
2,100,10,0.02105507
2,100,50,0.02124132
2,100,100,0.02119293
2,100,500,0.02121624
2,100,1000,0.02125091
2,100,5000,0.02300884
2,100,10000,0.02529152
2,100,50000,0.04209888
2,100,100000,0.06491061
2,100,500000,0.19343192
2,100,1000000,0.36154542
2,100,5000000,1.49725089
4,4,10,0.04111793
4,4,50,0.04135377
4,4,100,0.04121856
4,4,500,0.04120605
4,4,1000,0.04139116
4,4,5000,0.04145812
4,4,10000,0.04173399
4,4,50000,0.04187504
4,4,100000,0.04118501
4,4,500000,0.05260478
4,4,1000000,0.06546288
4,4,5000000,0.18519481
4,25,10,0.04117691
4,25,50,0.04130453
4,25,100,0.04122461
4,25,500,0.04125296
4,25,1000,0.04159246
4,25,5000,0.04193087
4,25,10000,0.04214732
4,25,50000,0.04417074
4,25,100000,0.04546341
4,25,500000,0.07128854
4,25,1000000,0.11064291
4,25,5000000,0.3916406
4,100,10,0.04130894
4,100,50,0.04152447
4,100,100,0.04138441
4,100,500,0.04132072
4,100,1000,0.04192884
4,100,5000,0.04262165
4,100,10000,0.04378589
4,100,50000,0.05207554
4,100,100000,0.06145435
4,100,500000,0.15013976
4,100,1000000,0.26981177
4,100,5000000,1.20243371
